ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202401;REU;AIR AUSTRAL;;FRANCE (OM);129534;1106,3;140597
202401;RJA;ROYAL JORDANIAN;;JORDANIE;12733;100,1;13734
202401;ROT;TAROM;;ROUMANIE;10376;10,3;10479
202401;ROU;AIR CANADA ROUGE;;CANADA;13170;5,5;13225
202401;RYR;RYANAIR;;IRLANDE;892845;19,5;893040
202401;SAS;SAS;;SUEDE;30307;34,1;30648
202401;SIA;SINGAPORE AIRLINES;;SINGAPOUR;23413;1339,1;36804
202401;SRR;STAR AIR DANEMARK;;DANEMARK;0;4278,4;42784
202401;SVA;SAUDIA;;ARABIE SAOUDITE;28590;1010,8;38698
202401;SWR;SWISS;;SUISSE;42635;151,9;44154
202401;SWT;SWIFTAIR ESPAGNE;;ESPAGNE;6;1926,8;19274
202401;SXS;SUNEXPRESS;;TURQUIE;13094;0;13094
202401;SZN;AIR SENEGAL;;SENEGAL;14329;407,9;18408
202401;TAM;TAM/BRASIL;;BRESIL;14918;430,9;19227
202401;TAP;TAP AIR PORTUGAL;;PORTUGAL;102539;72;103259
202401;TAR;TUNISAIR;;TUNISIE;67872;147,2;69344
202401;THA;THAI AIRWAYS INTL;;THAILANDE;18135;755,3;25688
202401;THT;AIR TAHITI NUI;;FRANCE (OM);25307;571,1;31018
202401;THY;TURKISH AIRLINES;;TURQUIE;162083;2401,5;186098
202401;TOM;TUI AIRWAYS;;ROYAUME-UNI;33535;16,4;33699
202401;TPC;AIR CALEDONIE;;FRANCE (OM);37588;124,6;38834
202401;TSC;AIR TRANSAT;;CANADA;40601;50,5;41106
202401;TVF;TRANSAVIA FRANCE;;FRANCE;742759;3,6;742795
202401;UAE;EMIRATES;;EMIRATS ARABES UNIS;104148;3595,5;140103
202401;UAL;UNITED AIRLINES;;ETATS-UNIS;41544;1294,4;54488
202401;UPS;UPS AIRLINES;;ETATS-UNIS;0;2104,7;21047
